Id2,Geography,Age,2015,2020,2025,2030,,,,,,,,,
27041,Douglas,55 to 59," 2,134 "," 1,974 "," 1,628 "," 1,565 ",,,,,,,,,
27041,Douglas,60 to 64," 1,706 "," 1,795 "," 1,654 "," 1,364 ",,,,,,,,,
27041,Douglas,65 to 74," 1,269 "," 1,454 "," 1,565 "," 1,540 ",,,,,,,,,
27041,Douglas,75+, 264 , 313 , 378 , 441 ,,,,,,,,,
27043,Faribault,16 to 19, 381 , 377 , 368 , 326 ,,,,,,,,,
27043,Faribault,20 to 24, 631 , 810 , 797 , 778 ,,,,,,,,,
27043,Faribault,25 to 29, 561 , 557 , 727 , 716 ,,,,,,,,,
27043,Faribault,30 to 34, 651 , 546 , 539 , 704 ,,,,,,,,,
27043,Faribault,35 to 44," 1,301 "," 1,338 "," 1,202 "," 1,086 ",,,,,,,,,
27043,Faribault,45 to 54," 1,515 "," 1,237 "," 1,194 "," 1,223 ",,,,,,,,,
27043,Faribault,55 to 59, 940 , 747 , 581 , 495 ,,,,,,,,,
27043,Faribault,60 to 64, 687 , 754 , 597 , 463 ,,,,,,,,,
27043,Faribault,65 to 74, 554 , 649 , 732 , 682 ,,,,,,,,,
27043,Faribault,75+, 84 , 86 , 95 , 109 ,,,,,,,,,
27045,Fillmore,16 to 19, 479 , 550 , 543 , 461 ,,,,,,,,,
27045,Fillmore,20 to 24, 978 ," 1,238 "," 1,391 "," 1,361 ",,,,,,,,,
27045,Fillmore,25 to 29, 848 , 820 ," 1,084 "," 1,236 ",,,,,,,,,
27045,Fillmore,30 to 34," 1,005 ", 789 , 763 ," 1,008 ",,,,,,,,,
27045,Fillmore,35 to 44," 2,084 "," 2,007 "," 1,755 "," 1,507 ",,,,,,,,,
27045,Fillmore,45 to 54," 2,371 "," 1,985 "," 1,877 "," 1,791 ",,,,,,,,,
27045,Fillmore,55 to 59," 1,330 "," 1,173 ", 884 , 820 ,,,,,,,,,
27045,Fillmore,60 to 64, 948 , 993 , 874 , 654 ,,,,,,,,,
27045,Fillmore,65 to 74, 730 , 853 , 929 , 886 ,,,,,,,,,
27045,Fillmore,75+, 157 , 167 , 188 , 214 ,,,,,,,,,
27047,Freeborn,16 to 19, 804 , 919 , 898 , 793 ,,,,,,,,,
27047,Freeborn,20 to 24," 1,416 "," 1,689 "," 1,894 "," 1,847 ",,,,,,,,,
27047,Freeborn,25 to 29," 1,392 "," 1,238 "," 1,520 "," 1,728 ",,,,,,,,,
